Text,Language
Jiblod omik en ob obinobs flens gudik.,Volapük
Wówapi kiŋ wačhíŋ.,Lakota
Thimáothi kiŋ kpáza.,Lakota
Lakȟótiyapi wówaglake.,Lakota
Wakan šni.,Lakota
Žaŋžáŋla kiŋ tákuni él úŋ šni.,Lakota
মই ভাবিছিলো আমি একেলগে খাব পাৰিলো হয়৷,Assamese
মোৰ দেউতাই তেওঁৰ কাম ভাল পায়।,Assamese
আমাৰ লৰালৰি লাগিছে।,Assamese
টমে ফৰাচী নকয়।,Assamese
চোৱাঁ!,Assamese
"സ്വർണ്ണവണ്ടി അവരുടെ അടുത്തേക്ക് കയറി വന്നു, അത് രത്നങ്ങളിലും വജ്രങ്ങളിലും പതിച്ചിരുന്നു.",Malayalam
ഒന്നിനും അവനെ സ്വാധീനിക്കാന്‍ കഴിയുകയില്ല.,Malayalam
ഞാൻ നിങ്ങളുടെ സെൽ ഫോൺ ഉപയോഗിച്ചാൽ നിങ്ങൾക്ക് പ്രശ്നമുണ്ടോ?,Malayalam
ഇത് ഒന്നുമല്ല.,Malayalam
ചെയ്യാൻ.,Malayalam
هیڅ سوک ځما اوښکی نه وینی.,Pushto
دوي ماته وویل چه ددوی توقع وه چه وي ګټو.,Pushto
ښایی چه د یو بل مخ یې هیڅ نه وی لیدلی.,Pushto
مونږ اول په رنګ روډ پرتې اتحاد کالونۍ ته لاړو ـ,Pushto
دا هغه کتاب لوی کتاب دی چه ما غوتل چی ویوایم.,Pushto
Ver í frið.,Faroese
Henda bókin er nýggj.,Faroese
Ikki nerta meg!,Faroese
Ikki arbeiða ov hart!,Faroese
Hvussu gomul ert tú?,Faroese
Ailish sia kiyo.,Choctaw
Ilʋppa̱ binili.,Choctaw
Ishko.,Choctaw
I̱kilish ish anumpoli ho̱?,Choctaw
Abʋska ish ia tuk.,Choctaw
Inanay og kadaghan ang nahibaloan tang iningles.,Cebuano
Pasagdi ko!,Cebuano
Wala siyay sala pinasubay ining ebidensiyaha.,Cebuano
Wala koy kuarta.,Cebuano
Badlungun nimo ang himabayi nimong bana.,Cebuano
Me observar fro vun fingres ke vu fumar.,Novial
Vu have un mesaje.,Novial
Me voli viva in Fransia.,Novial
Simies es inteligenti.,Novial
Li fema es grosi.,Novial
Bu masjid kim tomonidan qurilgan?,Uzbek
Ahvoli yaxshilanyapti.,Uzbek
Charchagandirsan? Tezroq uxlasangchi?,Uzbek
Chaqaloq yig'lashdan to'xtadi.,Uzbek
Kim bilan gaplashmoqchisan?,Uzbek
Ka khluit palat.,Khasi
Nga mareh ban khoit ban khiah.,Khasi
Nga artatien ba ngan lah ban jngi sha shiliang kane ka wah.,Khasi
Sngewbha pyrshang iwei.,Khasi
Bang!,Khasi
Ὁ Δίδυμος κύνα οὐκ ἔχει.,Ancient Greek (to 1453)
Ὁ Θωμᾶς μέγας ἐστίν.,Ancient Greek (to 1453)
"ἕν οἶδα, ὅτι οὐδέν οἶδα.",Ancient Greek (to 1453)
"παῦε, μὴ λέξῃς πέρᾱ.",Ancient Greek (to 1453)
Δίκαιον εὖ πρᾱ́ττοντα μεμνῆσθαι θεοῦ.,Ancient Greek (to 1453)
Бiлгiм келедi.,Kazakh
Ол кітапты күтіп ұстады.,Kazakh
Мен шет тілдерді білуге ынтықпын.,Kazakh
Бақа сисе көлге сеп.,Kazakh
Бұл сізге қиын екенін білемін.,Kazakh
Mazzi as registrītun si teinū?,Prussian
Kawīds īdis turri tūlin kalōrijans be kawīds ni?,Prussian
As wīrst immuns šin ukatēmpraisin.,Prussian
As wīrst būwuns pawīrpingi pa dessimtins minūtins.,Prussian
"Kaddan wīrst tū etdāwuns mi penningans, kawīdans assei aušaūwuns si ezze mi pirzdau mettan?",Prussian
ምስ ቆልዓ ኣይትምከር፡ ምስ ከልቢ ኣይትተሓባእ።,Tigrinya
ኣነ ተማሃሪ አየ።,Tigrinya
ልምምድ ንሰብ ውሕሉል ይገብሮ።,Tigrinya
ህዉኽ ዝብኢ ቀርኒ ይነክስ።,Tigrinya
ትማሊ ፈረስ ዓዲገ,Tigrinya
A son fruts.,Friulian
O soi un om.,Friulian
Mi clami Jack.,Friulian
Al è vueit.,Friulian
Bundì!,Friulian
Ӈылрачыко ӄыялгытыркынэтык апаӄатлы эвытлым э'мпычга.,Chukot
"Ӄэлелвынчыкук нъэлык ынӈин вальа пиӈэвытрэ нынъэӄэрэвӄинэт ванэван ымыльэты ывикит о'равэтльэн, ымы-ым ванэван ымыльоргэн о'равэтльэн.",Chukot
Турык бригадак тъэр гынниӈӈыттыльыт?,Chukot
Э'ми тургин лыгъытвъэт?,Chukot
Ынӄэйына чекгырголягты нинэтиӈуӄин рычемавъё нутэсӄын радиоактивныкэн рытчыё.,Chukot
Viņš ir mans brālis.,Standard Latvian
Klusāk!,Standard Latvian
Toms runā Japāņu valodā labāk nekā Japāņi.,Standard Latvian
Viņš nekad nav bijis ārzemēs.,Standard Latvian
"Tu zini, cik mēs esam aizņemti.",Standard Latvian
الحمار محصل صاحبه.,Egyptian Arabic
الساعة كام؟,Egyptian Arabic
ده غبي لدرجة انه مش هيخاف من حاجة خطر.,Egyptian Arabic
هي متعرفنيش.,Egyptian Arabic
أكيد!,Egyptian Arabic
ਇਹ ਕੋੲੀ ਰਾਜ਼ ਨਹੀਂ ।,Panjabi
ਸਹੀ ਨਾਪ ਲਾਜ਼ਮੀ ਹੈ.,Panjabi
"ਪਾਸਵਰਡ ""ਮਿਯੂਰੀਅਲ"" ਹੈ।",Panjabi
ਓਹ ਮੇਰੀ ਬੀਵੀ ਨੂੰ ਜਾਣਦੇ ਹਨ।,Panjabi
ਪੰਛੀ ਅਸਮਾਨ ਵਿੱਚ ਹੈ ।,Panjabi
Alarm aku tak bunyik pagi ni.,Malay (individual language)
Minggu lepas aku ada baca buku ni panjang gila.,Malay (individual language)
Kita ada peraturan yang ketat pasal tu.,Malay (individual language)
Anjing aku pandai gila.,Malay (individual language)
Tom tak payah mintak maaf.,Malay (individual language)
Wa is dêr?,Western Frisian
Jou yn it Ingelsk antwurd op de folgjende fragen.,Western Frisian
Ik ha toarst.,Western Frisian
Graach dien.,Western Frisian
Wat is Telegram?,Western Frisian
𒆉𒈦𒂊𒌆𒋛𒁲𒅔𒌆.,Sumerian
𒃻 𒌇 𒌇 𒀠 𒋤 𒌓 𒉆 𒇳𒁺 𒊏 𒀠 𒆪 𒉡,Sumerian
𒉈 𒂗 𒂼 𒈬,Sumerian
𒃻𒊮𒀀𒉈𒆸𒆸𒅅𒀊𒁀𒂊𒉈𒀝𒊏𒄠.,Sumerian
𒉡𒌒𒍪𒍪𒌦,Sumerian
"Аҙашһаң ла, ил менән аҙаш.",Bashkir
Мине барыһы ла ярата.,Bashkir
Ҡыҙымды күрҙеңме?,Bashkir
Дөрөҫ тәржемә итегеҙ.,Bashkir
Том уйнамай.,Bashkir
La idea nun ye nueva.,Asturian
Él tien un podcast.,Asturian
Cuidáu!,Asturian
Esa película ye afayadiza pa xente de toles edaes.,Asturian
Atentamente.,Asturian
Jam pinten panjenengan tindak dhateng peken?,Javanese
Tom kerep madhang karo Mèri.,Javanese
Iki sawijining pilem paling èlèk sing tau dakdelok.,Javanese
ꦱꦸꦒꦼꦁꦮꦂꦱꦲꦺꦁꦒꦭ꧀!,Javanese
Tom mesthi nganggo topi.,Javanese
Sutra ćemo razgovarati sa njima o problemu.,Bosnian
Ovo nije knjiga za djecu.,Bosnian
"Moja je, nije njegova.",Bosnian
Ona je mlada studentkinja.,Bosnian
"Njeno je, zar ne?",Bosnian
Čindem jekh nevi matora le Tomeske.,Romany
I Mary phendas mange ke o Tom sas lako phiramno.,Romany
Kamlem te ažutiv le Tomes te kerel les.,Romany
Palikerav tuke anda čiro sigo atveto.,Romany
Ame samas ane k than.,Romany
"Tedbîranê xo sist mekerê, hema nêweşîye nêqedîyaya.",Zaza
Cezayîr tena çar saetî dûrî yo.,Zaza
Bé ma ney bé qediné.,Zaza
Tiyé cayı raşt.,Zaza
Tı zané kéyeyé Tom'î kotîdo?,Zaza
बकवास !,Nepali (individual language)
म यहाँ बेपारमा आएको।,Nepali (individual language)
त्यो मान्छे बाहुन होइन।,Nepali (individual language)
तपाइँले ठीक भन्नुभयो।,Nepali (individual language)
त्यो राम्रो छ ।,Nepali (individual language)
In tepozmācuauh yuhquin ātl monecuiloā.,Nahuatl
Tepoztōtōtl mahcoc melāhuac īpan mahtlāctli horas.,Nahuatl
Tom ya huel nahuatlatohua tlacuauh miyec quicuep totlatolpan.,Nahuatl
Nocihuātl.,Nahuatl
"Auh ōhuālmocuepqueh tlanāhuatico cah mochi in tlālli ahmō acah quipiyaya, īcēl toca ōquitztiahqueh in tetepanzoltzin calchīhualli catca.",Nahuatl
Da Tom hots gwisst.,Bavarian
Glei gib i s'da.,Bavarian
Griaß di!,Bavarian
"Gö, du wirst a wengal mehr Göd brauchn ois des?",Bavarian
I hob ma's aufgschriebm.,Bavarian
Тер өсвкәд бәәв.,Kalmyk
Чи серүн бәәнч?,Kalmyk
Хаврт дала цецгүд делгрнә.,Kalmyk
Тер окн байн көгшн күнд хәрд hарв.,Kalmyk
Чини эгч ода ю кеҗәнә?,Kalmyk
ನಾನು ನಿಮಗೆ ಆ ರಹಸ್ಯ ಸಲಹೆಯನ್ನು ತುಂಬಾ ನಿರರ್ಗಳವಾಗಿ ಧ್ವನಿಸಲು ನೀಡುತ್ತೇನೆ.,Kannada
ಮದುವೆಯಲ್ಲಿ ನಾರ್ಸಿಸಸ್ ಕೈ ಕೇಳಲು ನಾನು ಇಲ್ಲಿಗೆ ಬಂದಿದ್ದೇನೆ ಆದರೆ ಅವಳ ಹೆಸರು ನಿಮಗೆ ಹೇಗೆ ಗೊತ್ತು ಮತ್ತು ನೀವು ಯಾರು.,Kannada
ನಿಮಗೆ ನೆನಪು ಇದ್ಯಾ?,Kannada
ನಾನು ಮನೆಗೆ ಹೊರಡುತ್ತಾ ಇರಬೇಕು.,Kannada
ಆದ್ದರಿಂದ ನೀವು ಯಾರನ್ನಾದರೂ ಭೇಟಿಯಾಗುತ್ತೀರಿ ಮತ್ತು ಅದು ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ?,Kannada
Lópezqa tawa wawkenkunayuq kan.,Quechua
"Runakunaka Ecuadorpi kichwata riman, icha runa kunaka Perupi quechuata riman.",Quechua
Cronoska Apolopak hatun taytami.,Quechua
Ritin.,Quechua
"Wawkeyuq kankichu, Pidru?",Quechua
Jete am iio?,Marshallese
"Jonoul, ronoul, jilnoul, enoul, lemnoul, jiljinonoul, jimjuonoul, ralitonoul, ratimjuonoul, jibukwi.",Marshallese
Ij riit.,Marshallese
Men otemjej rej ilo bein Anij.,Marshallese
Ej bwil.,Marshallese
ホㇱカヌマン　レラ　アㇱ。,Ainu (Japan)
tanto sirpirka ya?,Ainu (Japan)
numan sirpirka a p tanto sirwen.,Ainu (Japan)
"poronno icen ku-kor rusuy, korka tane icen ku-sak.",Ainu (Japan)
hioy'oy.,Ainu (Japan)
ଆନଂଦରେ।,Oriya (macrolanguage)
ଶୁଭେଚ୍ଛା,Oriya (macrolanguage)
ଘରେ ପହଂଚ।,Oriya (macrolanguage)
ମାଇକ୍ ହସନ୍ତି।,Oriya (macrolanguage)
ବଢ଼ିଆ!,Oriya (macrolanguage)
Ginsulat ya sarili ya nga ngalan.,Hiligaynon
Indi ko ini maubra tanan.,Hiligaynon
Ang pagkapirde ta subong indi isa ka butang nga malain.,Hiligaynon
Maligo ako.,Hiligaynon
Giwasak ang tibuok nga dakbanwa sa kalayo.,Hiligaynon
Go scumisià el libro.,Venetian
So' seguro de ver el nùmaro justo.,Venetian
Come ze che se stua?,Venetian
Ła zente saja ła inpara dai so nemighi.,Venetian
Come ze che gavì inparà el fransezo vualtri?,Venetian
ការ​រលាក​កម្តៅ​ថ្ងៃ​ឈឺ​ណាស់ ។,Central Khmer
ធ្វើដំណើរសុខសប្បាយ !,Central Khmer
រីករាយ​ថ្ងៃ​ខួប​កំណើត !,Central Khmer
ប្រាកដហើយ!,Central Khmer
គ្រាប់ធនជាតិ យកមកធ្វើជាម្ហូប មានប្រជាប្រិយភាពយ៉ាងខ្លាំង ។,Central Khmer
ස්තූතියි!,Sinhala
මම ඔහුට උදවු කරමි.,Sinhala
මට උණුදිය නෑමට ඇවැසි නැති.,Sinhala
මං තරුණයි.,Sinhala
මා තරුණයි.,Sinhala
"Abraham þa het Isaac beran þone wudu to þære stowe, and he self bær his sweord and fyr.",Old English (ca. 450-1100)
Stund biþ ymbe seofon. We moton to scole gangan.,Old English (ca. 450-1100)
Hēo wunaþ on Lundene.,Old English (ca. 450-1100)
Mīn nama is Ælfred. Hū fǣrst þū?,Old English (ca. 450-1100)
For hwi ne fixast þu on sæ?,Old English (ca. 450-1100)
Ou u'uba oiomimpe nhũme?,Tupí
Pe-kûá!,Tupí
'Ybotyra kunhãnema.,Tupí
Xe roryb nde marane'ỹmamo nde îebyra resé.,Tupí
Aikuab ã nhe'enga.,Tupí
Мин бааннайга баарбын.,Yakut
Эн тугу баҕараҕыный?,Yakut
Сыппытым аанньа сытан барабын.,Yakut
Эппитиҥ курдук оҥордум.,Yakut
Мантан элбэх көмүһү хостууллар.,Yakut
Ejja hawn!,Maltese
Is-surmast saqsieni jekk il-gimgħa d-diehla hux se tkun vaganza.,Maltese
Nirringrazzjawkom ħafna!,Maltese
M'iniex bħal tfajliet oħrajn.,Maltese
Boqq.,Maltese
Ko rabakau n taetae ni Kiribati?,Gilbertese
"Teuana, uoua, tenua, aua, nimaua, onoua, itua, wanua, ruaiwa, tebwina.",Gilbertese
Ko na mauri!,Gilbertese
E kanakoa te reta nakoiu.,Gilbertese
Iai am moko?,Gilbertese
"Taset ti'n magu ci, pa gi baset ti'n magu?",Welsh
Garddwr dw i,Welsh
Helpais i Tom i lenwi'r ffurflen gais.,Welsh
Mae gennyf lyfr.,Welsh
Gwena.,Welsh
Arcòrdte ch'a l'é toa colpa.,Piemontese
"I pensava d'vorèjte bin, ma antant i veul bin a n'àutr.",Piemontese
Agiut!,Piemontese
"La matemàtica pura a l'é, a soa manera, la poesia dle ideje lògiche.",Piemontese
Vogoma còsa ch'a peul dine Tom.,Piemontese
O fauni bana ndebbo.,Nigerian Fulfulde
Mi andi.,Nigerian Fulfulde
Mi anda.,Nigerian Fulfulde
Mi yidima.,Nigerian Fulfulde
Mi yida ko dume.,Nigerian Fulfulde
Dji pou rintrer?,Walloon
Boune Påke!,Walloon
"Bondjoû, tortos.",Walloon
I m' racontéve des istweres åd fwait d' l' Inde.,Walloon
Vass ti fé araedjî!,Walloon
Kalkulatoren på bordet er min.,Norwegian Nynorsk
Eg dusjar kvar kveld.,Norwegian Nynorsk
Tom sine dagar er talde.,Norwegian Nynorsk
Eg er sikker på at Tom fortalde deg det.,Norwegian Nynorsk
Born treng mykje svevn.,Norwegian Nynorsk
Сьӧд нюлэс пеймыт — адӟисез уз луы.,Udmurt
Нырысьсэ Евровидениын удмурт кылын кырӟан чузъяське!,Udmurt
Ӟеч нуналэн.,Udmurt
"Азяд чебер кадь, нош берад – эгыр.",Udmurt
"Тау, номыр ӧвӧл!",Udmurt
χίλια ευχαριστώ.,Greek
"όχι, καθόλου.",Greek
"και με αυτό μπήκε στο καροτσάκι του και χωρίς καν να αποχαιρετήσει τη μητέρα της, έφυγε με τον άγγελο καθώς ταξίδευαν το άμαξα ξαφνικά μπήκε σε μια μαγική πύλη εκεί που ταξίδεψε μέσα από μια θυελλώδη περιοχή, η άμαξα έπεσε τρομερά και ναρκίσσα.",Greek
συγγνώμη.,Greek
δεν ήταν σε θέση.,Greek
Bruuchsch en Ambulanz?,Swiss German
D'Hauptfunktion vo dä rotä Bluetkörperli isch de Suurstoffstransport.,Swiss German
I ha äs Iklemmts für dä Zmittag mitgno.,Swiss German
D'Station isch i de nöchi.,Swiss German
So isch das immer gsi.,Swiss German
Руз ишму э хэйр бу!,Judeo-Tat
Е бульбуьл нуьшдебу э сер суьмбуьл.,Judeo-Tat
Худо кумек!,Judeo-Tat
Руз ишму э хэйр бу!,Judeo-Tat
Амбар гоф мосох!,Judeo-Tat
He pai te mahi akoranga ki a koe?,Maori
Me haere au ki te whare paku.,Maori
He roa rawa te wā e whakapaua ana e Tom e whakamahi ana i te rorohiko.,Maori
"Mauria atu ai ngā tamariki e Tom ki te kura ia rā, ia rā.",Maori
Kāore a Tom i whakaaro ka pērā te whakahoki a Mary.,Maori
Ape tha'a selpōn mena'a?,Ho
Dhola añ lo'o susunme!,Ho
Nerem thaine?,Ho
Okothema?,Ho
Dhola añ lo'o.,Ho
"Malámu, mɔkɔlɔ níni tokosolola malámu, mpóo, naákokɛndɛ mbángu na mosálá.",Lingala
Nazali na mbóngo you.,Lingala
Kímyá !,Lingala
"Yɔ̌ mpɛ́, okokí koyékola falansé.",Lingala
Mwána na ngáí ya mobáli akeí lɛlɔ́.,Lingala
Ti pot håfa lao umo'otru i asaguanya yanggen ha sangan nyanyaihon dzu'. Lao diberas dimasiau lokkue ha mensionan nyaihon dzu'.,Chamorro
En gimen dididi' na hånom.,Chamorro
I na'ån hu si Tom.,Chamorro
Ni håfa kinano'ña asta ke guě' ma reskåta.,Chamorro
Gago' gue'.,Chamorro
Ким юрегинъни сынды?,Nogai
Мунда кус бар.,Nogai
Сенде ВатсАп барма?,Nogai
Сондай бизде аьдетлер!,Nogai
Ол студент тувыл.,Nogai
မလှုပ်နဲ့။,Burmese
တစ်ကယ်ကြီး။,Burmese
ကောင်းသော ညပါ။,Burmese
သူမ ရေကူးနေခဲ့တယ်။,Burmese
အချိန်ရလျှင် သွားမယ်လေ။,Burmese
"Чабакъ сувдан чыкъмас, бёдене сувгъа гирмес.",Kumyk
"Кёп сёзню азы яхшы, аз сёзню оьзю яхшы.",Kumyk
Поезд къайсы платформадан гете?,Kumyk
"Аянгда буса, ашарсан, анангда буса, аларсан.",Kumyk
Абай ургъан авуртмас.,Kumyk
Kaa.,Ojibwa
Aanii piish enjebayin?,Ojibwa
Wegnesh ezhinkaazyin?,Ojibwa
Mino gigizheb,Ojibwa
Jack ndizhinikaaz.,Ojibwa
كم مدرسة في بمدينتك؟,North Levantine Arabic
Kifak?,North Levantine Arabic
توم يفهم ما لا تفهمه.,North Levantine Arabic
Khara.,North Levantine Arabic
Marto faransawiyye.,North Levantine Arabic
Xiquijcuilo.,Central Huasteca Nahuatl
¿Taya itoca mohuehue?,Central Huasteca Nahuatl
Amo.,Central Huasteca Nahuatl
¿Taya tijchihuaj?,Central Huasteca Nahuatl
Nechpactía.,Central Huasteca Nahuatl
Ahia'kserakwé:kon rohténtion.,Mohawk
'Eh kenh then:teron ne tsatén:ro?,Mohawk
Atókwa í:satst tsi satshó:ri.,Mohawk
Tánon' ónhka ní:se'?,Mohawk
Í:'i akwawenhshón:'a thí:ken.,Mohawk
Nuthambisye ngali?,Kamba (Kenya)
Tom niwe munene waku.,Kamba (Kenya)
Mbaka nikwataa mbia.,Kamba (Kenya)
Mbaka hĩĩ nĩ yakwa.,Kamba (Kenya)
Nuthambisye ngali?,Kamba (Kenya)
મારું નામ હોપકિન્સ છે.,Gujarati
ગરીબો માટે ઉપર આભ નીચે ધરતી જ હોય છે.,Gujarati
શું બધા સરખા છે ?,Gujarati
મુંબઈ ભારતનાં મહારાષ્ટ્ર રાજ્યનું પાટનગર છે.,Gujarati
બઉ જ મોડુ,Gujarati
ເຈົ້າກິນທຸລຽນເປັນບໍ?,Lao
ລາວຕຸ້ຍໂພດ.,Lao
ຂ້ອຍບໍ່ຢາກຊື້ໝາກຖຸລຽນນັ້ນ.,Lao
ພວກເຮົາອາຍຸບໍ່ເທົ່າກັນ.,Lao
ດຽວນີ້ເຈົ້າຢູ່ໃສ?,Lao
Anam büyük tatalarıma dört eteklik tikti.,Crimean Tatar
Tiz çökip oña yalvarmağa başladı.,Crimean Tatar
"Qızım saña aytam, kelinim sen diñle.",Crimean Tatar
"Бу къарар АБД-ден (США) башлап, Япониягъа къадар ве Авропа Бирлигининъ чокъусы улькелерини къаплап алгъан дюньянынъ 83 мемлекетининъ къанунларында пекитильгендир. Бу къаиде Шималий Кореяда ишлетиле ве 2014 сенесининъ октябрь айындан башлап Русие Федерациясында да мевджут.",Crimean Tatar
Bunıñ sebebi yoq edi.,Crimean Tatar
Ki lè li fè?,Haitian
"Kijan ou di ""Mwen renmen w"" an franse?",Haitian
Yo a konprann nou.,Haitian
Ki kote w ye?,Haitian
Byen veni.,Haitian
Имрӯз вақт доред?,Tajik
Дар остонаи фардо.,Tajik
"Биёед, канӣ санҷем!",Tajik
"Дар чор соли оянда, 15 миллион евроро наҷот медиҳанд",Tajik
Агар хоҳиш дошта бошӣ.,Tajik
Tsy misy fisaorana.,Malagasy
Tsara ka!,Malagasy
Inona ny vaovao?,Malagasy
Manao ahoana ny fahasalamanao?,Malagasy
Afaka ataoko tsara ny asa!,Malagasy
L'aisciuda nes dà zeruch la speranza per l davegnì.,Ladin
Ie son vedl.,Ladin
"Chilò áste sëgn spo ince mî socrët. Al é dër scëmpl: an vëiga mâ bun cun le cör, l'essenzial ne vëigon nia cun i edli.",Ladin
Ala é jita te Franza per studié mujica.,Ladin
Ie creide a chel che el dij.,Ladin
मैरी तोहार लइकी हिअ का ?,Bhojpuri
मैरी तोहार लइकी बाड़ी का ?,Bhojpuri
उ का बाटे ?,Bhojpuri
इ किताब बहुत पातर बा।,Bhojpuri
फ्रेंच इटली के कुछ हिस्सन में अउर फ्रांस में बोलल जाले।,Bhojpuri
"Ngana tau bahasa Prancis, io to?",North Moluccan Malay
Bunu lampu ka.,North Moluccan Malay
Kita minta maaf e barang tara bisa bantu ngana kong.,North Moluccan Malay
Bajao!,North Moluccan Malay
Ngana basambunyi di pohong pe balakang.,North Moluccan Malay
उ सुन्नर रहा।,Awadhi
टाम खुस रहा।,Awadhi
मेरी सुन्नर ह।,Awadhi
मइँ गाभीन अहउँ।,Awadhi
ओकायामा बड़ा सहर ह का?,Awadhi
అది నిజంగా అంత చెడ్డదా ?,Telugu
ఈ పెన్సిళ్లు ఒకే రంగులో ఉన్నాయి,Telugu
ఎక్కడ నొప్పి పుడుతుందో నాకు చూపించు,Telugu
నేను నువ్వైతే ఈరోజు అక్కడికి వెళ్ళను,Telugu
ఎమిటీ! ఇది నిజమా?,Telugu
Are ye i Berlyn?,Middle English (1100-1500)
The king withseide.,Middle English (1100-1500)
Thou askedest me.,Middle English (1100-1500)
"Oure fadir that art in hevenes, halewid be thi name; thi kyngdoom come to; be thi wille don, in erthe as in hevene. Ȝyve to us this dai oure breed over othir substaunce, and forȝyve to us oure dettis, as we forȝyven to oure dettouris; and lede us not in to temptacioun, but delyvere vs fro yvel. Amen.",Middle English (1100-1500)
"Folk schal no more reise swerd ayens folk, and thei schulen no more be exercisid to batel.",Middle English (1100-1500)
Пцӏы сыусыщтэп.,Adyghe
Тэ тинэхэмкӏэ теплъы.,Adyghe
Уипчыхьэ шӏу.,Adyghe
Умыгуаӏ!,Adyghe
Джы тыкъеблэгъэнэп.,Adyghe
(relationAllInstance sellsProductType ConvenienceStore CandyBar),CycL
(organizationHead CityCouncilOfAustin LeeLeffingwell),CycL
"(thereExists ?PERSON1 (thereExists ?PERSON2 (and (nameStrings ?PERSON1 ""Philip"") (nameStrings ?PERSON2 ""Tom"") (relatives ?PERSON1 ?PERSON2))))",CycL
(mostNotableIsa Batman Superhero),CycL
(oppositeCollections WakingUpFromSleep GoingToSleep),CycL
Buena tardi.,Aragonese
Charra aragonés?,Aragonese
Ves-te-ne.,Aragonese
Que vaiga bueno.,Aragonese
Aón vas?,Aragonese
Goas don fas boađát?,Northern Sami
Mii lea du telefonnummir?,Northern Sami
Mun in ipmir maid son dadjá.,Northern Sami
Sávan veajuid!,Northern Sami
Don muittášedjet Toma.,Northern Sami
Fakamolemole la.,Niuean
Mua kia!,Niuean
Monuina e pogipogi.,Niuean
Ko e heigoa a na?,Niuean
Ko hai e higoa haau?,Niuean
ཁོང་སྲིད་འཛིན་སྒོ་འབྱེད་བྱེད་སོང་།,Tibetan
ཏོམ་པགས་པ་ནག་པོ་འདུག།,Tibetan
ང་ལ་སུ་ཅིག་རོགས་པ་བྱད་མ་སོང་།,Tibetan
ཁྱེད་རང་ཨུ་སུའི་སྟོད་ཐུང་འདི་གྱོན་ཆས་རན་མིན་ལྟ་རོགས་གནང་།,Tibetan
སྔ་དྲོ་བདེ་ལེགས,Tibetan
Twaje kugusura.,Kinyarwanda
Murakoze!,Kinyarwanda
"Wigira isoni, nganiriza.",Kinyarwanda
Ntabwo nanga ishuri.,Kinyarwanda
Aba bakobwa bose beza uko ari batatu ni bishwa banjye.,Kinyarwanda
Bịa!,Igbo
I tinyere ihe na-asa efere ka obido.,Igbo
I na-akwado Iga ebe ahu?,Igbo
I wepuru ahihia ahu?,Igbo
Tom Kedu.,Igbo
E ʻai lohi ana ke kanaka nui i ka niu liʻiliʻi.,Hawaiian
E ʻai ana ke kanaka nui i ka niu liʻiliʻi.,Hawaiian
Aloha ahiahi.,Hawaiian
Poni ka pua liʻiliʻi.,Hawaiian
Kauka lāua.,Hawaiian
"Ego, mibo orch.",Sindarin
Im maer.,Sindarin
Lasto!,Sindarin
Im ú-ngorth.,Sindarin
I amar bain.,Sindarin
Yu wasim ol fut bilong yu.,Tok Pisin
Yu papa bilong mi.,Tok Pisin
Ol pikinini bilong mi em i stap long skul.,Tok Pisin
Mi no gat kar.,Tok Pisin
Ol pusi i no kaikai banana.,Tok Pisin
इदानीं उपविशन्तु।,Sanskrit
न जानामि को रोगस्त्वयि वर्तते।,Sanskrit
तस्मात् पुर्वमेव नागच्छम्।,Sanskrit
स्वदेहे चेल्लिखितवान्वचनमनवगम्यं तेनाप्यचिन्तिते फल उपलब्धे किं कर्तव्यम् ?,Sanskrit
रात्रौ निद्रा सम्यक् आसीत्।,Sanskrit
Ingerlalluarit!,Kalaallisut
Utoqqatserpunga.,Kalaallisut
Nerisassat allassimaffiat qaalaaruk.,Kalaallisut
Ambassademi sulivunga.,Kalaallisut
Tass soqutigiunnaapajaareerpara.,Kalaallisut
Mminô o utlwala o sa le kgakala.,Tswana
O tlhatswitse metsetô yotlhe.,Tswana
O dira eng gompieno?,Tswana
"Nna le letsatsi le le monate, wetsho.",Tswana
O se ka wa usa digalase tseo.,Tswana
Tlenon ticpia?,Guerrero Nahuatl
Quezqui tlajtojli titlajtohua?,Guerrero Nahuatl
Tejua tichanti huejca.,Guerrero Nahuatl
Motechmonequi matitlami yejuin tequitl ipan ce semanajli.,Guerrero Nahuatl
Ticpia ce amoxtli tiamoxpohuaz?,Guerrero Nahuatl
Cul-lé l'é nōv.,Emilian
M'n in frèiga gnînto.,Emilian
Tom l'é ûn cun la pèla cûrta.,Emilian
Stà bòun.,Emilian
Csa sucèd?,Emilian
"Meɖe kuku, ateŋu ayɔm fie sia?",Ewe
Ŋdi!,Ewe
Tɔm lɔa hadzidzi.,Ewe
Dzukplɔla la le nuƒoge le dzidziƒenukpɔmɔ dzi fie sia.,Ewe
Tom ƒe ze ye nye esi.,Ewe
I ka kɛnɛ?,Bambara
I ni cɛ!,Bambara
Aw bisimila!,Bambara
Nɛnɛ bɛ.,Bambara
I tɔgɔ bɛ di?,Bambara
K̓winc ke 7swucwt?,Shuswap
K̓winc ke stsmémeltemp re swucwts?,Shuswap
Kectéke re Tom t̓e swelmín̓k.,Shuswap
"Wéytk, Bill. Cwelcwélt-en-k?",Shuswap
Ta7 ey k stsketskítscs.,Shuswap
Die Bicher liege auf dem Disch.,Pennsylvania German
Was Zeit iss es?,Pennsylvania German
Ich schwetz keen Englisch.,Pennsylvania German
Des is mein Broodah.,Pennsylvania German
